iter	Passed	Remaining
0	142	14097
1	146	7194
2	151	4888
3	155	3727
4	159	3028
5	163	2564
6	167	2231
7	172	1978
8	175	1779
9	180	1620
10	184	1491
11	188	1382
12	192	1288
13	196	1208
14	201	1139
15	205	1077
16	209	1022
17	213	973
18	217	928
19	221	887
20	224	845
21	228	808
22	230	772
23	233	738
24	235	706
25	237	675
26	239	647
27	241	620
28	242	593
29	244	569
30	245	546
31	247	526
32	249	505
33	250	486
34	251	467
35	253	450
36	254	433
37	255	416
38	256	401
39	258	387
40	259	372
41	260	359
42	261	346
43	262	334
44	263	322
45	265	311
46	266	299
47	266	289
48	268	278
49	269	269
50	270	259
51	271	250
52	272	241
53	272	232
54	273	223
55	274	215
56	275	207
57	276	200
58	277	192
59	278	185
60	279	178
61	280	172
62	281	165
63	283	159
64	284	152
65	285	146
66	286	141
67	287	135
68	288	129
69	289	124
70	290	118
71	291	113
72	292	108
73	293	103
74	294	98
75	295	93
76	296	88
77	297	83
78	298	79
79	299	74
80	301	70
81	302	66
82	303	62
83	303	57
84	304	53
85	305	49
86	306	45
87	307	41
88	308	38
89	309	34
90	310	30
91	311	27
92	312	23
93	313	20
94	314	16
95	315	13
96	316	9
97	317	6
98	318	3
99	319	0
