iter	Passed	Remaining
0	1	1488
1	2	1388
2	4	1337
3	5	1290
4	6	1283
5	7	1290
6	8	1254
7	9	1232
8	11	1213
9	12	1199
10	13	1194
11	14	1185
12	15	1184
13	16	1183
14	17	1173
15	19	1187
16	20	1185
17	21	1180
18	22	1175
19	23	1170
20	24	1163
21	26	1158
22	27	1150
23	28	1144
24	29	1136
25	30	1137
26	31	1140
27	32	1136
28	33	1137
29	35	1135
30	36	1133
31	37	1128
32	38	1124
33	39	1121
34	40	1127
35	42	1130
36	43	1138
37	44	1135
38	45	1133
39	47	1129
40	48	1126
41	49	1125
42	50	1129
43	51	1127
44	53	1127
45	54	1125
46	55	1123
47	56	1122
48	57	1120
49	58	1117
50	59	1116
51	61	1113
52	62	1112
53	63	1109
54	64	1107
55	65	1107
56	66	1107
57	68	1106
58	73	1169
59	74	1168
60	75	1164
61	76	1161
62	77	1159
63	79	1155
64	80	1154
65	81	1153
66	82	1153
67	83	1150
68	85	1148
69	86	1146
70	87	1144
71	88	1141
72	89	1139
73	90	1137
74	92	1135
75	93	1131
76	94	1129
77	95	1129
78	96	1126
79	97	1126
80	99	1124
81	100	1121
82	100	1114
83	101	1111
84	103	1110
85	104	1108
86	105	1105
87	106	1103
88	107	1101
89	108	1099
90	110	1098
91	111	1096
92	112	1096
93	113	1095
94	114	1093
95	115	1091
96	116	1088
97	118	1087
98	119	1084
99	120	1082
100	121	1080
101	122	1079
102	123	1077
103	124	1075
104	125	1073
105	127	1072
106	128	1071
107	129	1071
108	130	1070
109	132	1070
110	133	1068
111	134	1067
112	135	1065
113	136	1063
114	137	1061
115	139	1061
116	140	1058
117	141	1058
118	142	1056
119	143	1054
120	145	1053
121	145	1050
122	147	1049
123	148	1048
124	149	1046
125	150	1044
126	151	1042
127	152	1040
128	154	1039
129	155	1038
130	156	1037
131	157	1036
132	158	1033
133	159	1032
134	160	1031
135	162	1029
136	163	1028
137	164	1027
138	165	1025
139	166	1024
140	167	1022
141	169	1021
142	170	1020
143	171	1019
144	172	1018
145	173	1016
146	174	1015
147	175	1012
148	177	1011
149	178	1009
150	179	1008
151	180	1007
152	181	1005
153	182	1004
154	184	1003
155	185	1002
156	186	1001
157	187	999
158	188	998
159	189	997
160	190	994
161	191	993
162	193	991
163	194	990
164	195	988
165	196	987
166	197	985
167	198	984
168	200	984
169	201	983
170	202	982
171	203	981
172	205	980
173	206	978
174	207	977
175	208	975
176	209	974
177	210	973
178	211	971
179	213	970
180	214	968
181	215	966
182	216	965
183	217	965
184	218	963
185	220	963
186	221	962
187	222	960
188	223	959
189	224	957
190	225	956
191	227	955
192	228	954
193	229	953
194	230	952
195	231	950
196	232	949
197	234	947
198	235	946
199	236	944
200	237	943
201	238	943
202	239	942
203	240	940
204	242	939
205	243	937
206	244	936
207	245	934
208	246	933
209	247	932
210	248	931
211	250	929
212	251	928
213	252	927
214	253	925
215	254	924
216	255	923
217	257	922
218	258	921
219	259	921
220	261	920
221	262	918
222	263	917
223	264	915
224	265	914
225	266	913
226	267	911
227	268	910
228	270	909
229	271	907
230	272	907
231	273	905
232	274	905
233	276	903
234	277	902
235	278	901
236	280	901
237	282	904
238	283	903
239	285	902
240	286	902
241	287	901
242	289	900
243	290	899
244	291	898
245	292	897
246	293	896
247	295	895
248	296	893
249	297	892
250	298	891
251	300	892
252	302	891
253	303	891
254	304	889
255	305	888
256	306	886
257	307	884
258	308	883
259	309	881
260	310	880
261	312	878
262	313	877
263	314	876
264	315	876
265	316	874
266	317	872
267	319	871
268	320	870
269	321	868
270	322	867
271	323	866
272	324	864
273	325	862
274	326	861
275	327	859
276	329	858
277	330	857
278	331	855
279	332	854
280	333	852
281	334	851
282	335	849
283	336	847
284	337	845
285	338	844
286	339	842
287	340	841
288	341	840
289	343	840
290	344	839
291	345	838
292	347	837
293	348	836
294	349	835
295	350	833
296	351	832
297	352	831
298	354	830
299	355	828
300	356	827
301	357	825
302	358	824
303	359	823
304	360	821
305	361	820
306	363	819
307	364	818
308	365	816
309	366	815
310	367	814
311	368	812
312	369	811
313	370	810
314	372	809
315	373	807
316	374	806
317	375	805
318	377	804
319	378	803
320	379	802
321	380	801
322	381	800
323	382	798
324	383	797
325	385	796
326	386	795
327	387	793
328	388	792
329	389	791
330	391	790
331	392	789
332	393	788
333	394	787
334	395	785
335	396	784
336	398	783
337	399	781
338	400	780
339	401	778
340	402	777
341	403	776
342	404	775
343	405	773
344	406	772
345	407	771
346	409	770
347	410	768
348	411	767
349	412	766
350	413	765
351	415	764
352	416	762
353	417	761
354	418	760
355	419	759
356	420	757
357	421	756
358	423	755
359	424	753
360	425	752
361	426	750
362	427	749
363	428	748
364	429	746
365	430	745
